project,state,web_links
hudson/org.eclipse.hudson.test.harness,ACTIVE,plugins/gitiles/hudson/org.eclipse.hudson.test.harness
permissions/mangrove-dev,ACTIVE,plugins/gitiles/permissions/mangrove-dev
www.eclipse.org/modeling/m2t/xpand,ACTIVE,plugins/gitiles/www.eclipse.org/modeling/m2t/xpand
gemini.naming/org.eclipse.gemini.naming,ACTIVE,plugins/gitiles/gemini.naming/org.eclipse.gemini.naming
chemclipse/org.eclipse.chemclipse.convertermassbank,ACTIVE,plugins/gitiles/chemclipse/org.eclipse.chemclipse.convertermassbank
papyrus/org.eclipse.papyrus-robotml,ACTIVE,plugins/gitiles/papyrus/org.eclipse.papyrus-robotml
sourceediting/webtools.sourceediting.tests,ACTIVE,plugins/gitiles/sourceediting/webtools.sourceediting.tests
www.eclipse.org/emf-refactor,ACTIVE,plugins/gitiles/www.eclipse.org/emf-refactor
sapphire/org.eclipse.yaml,ACTIVE,plugins/gitiles/sapphire/org.eclipse.yaml
papyrus/org.eclipse.papyrus-robotics,ACTIVE,plugins/gitiles/papyrus/org.eclipse.papyrus-robotics
osbp/org.eclipse.osbp.vaadin.widgetset,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.vaadin.widgetset
titan/titan.ApplicationLibraries.LWM2M,ACTIVE,plugins/gitiles/titan/titan.ApplicationLibraries.LWM2M
osbp/org.eclipse.osbp.ui.common,ACTIVE,plugins/gitiles/osbp/org.eclipse.osbp.ui.common
virgo/org.eclipse.virgo.osgi-test-stubs,ACTIVE,plugins/gitiles/virgo/org.eclipse.virgo.osgi-test-stubs
www.eclipse.org/recommenders,ACTIVE,plugins/gitiles/www.eclipse.org/recommenders
www.eclipse.org/xtend,ACTIVE,plugins/gitiles/www.eclipse.org/xtend
titan/titan.ProtocolModules.5G_system_TS29509_Nausf_v15,ACTIVE,plugins/gitiles/titan/titan.ProtocolModules.5G_system_TS29509_Nausf_v15
